position,shortcode,kind,url,canonical_url,discovered_at,discovery_round,visible_index
99,DWHxneBxw7w,reel,https://www.instagram.com/thedogist/reel/DWHxneBxw7w/,https://www.instagram.com/reel/DWHxneBxw7w/,2026-06-19T22:17:18.387Z,7,60
100,DWHAgoZxkRK,reel,https://www.instagram.com/thedogist/reel/DWHAgoZxkRK/,https://www.instagram.com/reel/DWHAgoZxkRK/,2026-06-19T22:17:18.388Z,7,61
101,DWFYXEMkftM,reel,https://www.instagram.com/thedogist/reel/DWFYXEMkftM/,https://www.instagram.com/reel/DWFYXEMkftM/,2026-06-19T22:17:18.389Z,7,62
102,DWE4wC9EdAj,reel,https://www.instagram.com/thedogist/reel/DWE4wC9EdAj/,https://www.instagram.com/reel/DWE4wC9EdAj/,2026-06-19T22:17:18.389Z,7,63
103,DWCuxpij19W,p,https://www.instagram.com/thedogist/p/DWCuxpij19W/,https://www.instagram.com/p/DWCuxpij19W/,2026-06-19T22:17:18.390Z,7,64
104,DV_u9toEW3m,reel,https://www.instagram.com/thedogist/reel/DV_u9toEW3m/,https://www.instagram.com/reel/DV_u9toEW3m/,2026-06-19T22:17:18.390Z,7,65
105,DV9xqrukaNO,p,https://www.instagram.com/thedogist/p/DV9xqrukaNO/,https://www.instagram.com/p/DV9xqrukaNO/,2026-06-19T22:17:18.390Z,7,66
106,DV4ewM3EXf1,reel,https://www.instagram.com/thedogist/reel/DV4ewM3EXf1/,https://www.instagram.com/reel/DV4ewM3EXf1/,2026-06-19T22:17:18.391Z,7,67
107,DV13NSXkcuk,reel,https://www.instagram.com/thedogist/reel/DV13NSXkcuk/,https://www.instagram.com/reel/DV13NSXkcuk/,2026-06-19T22:17:18.391Z,7,68
108,DV1LzUAkXh-,reel,https://www.instagram.com/thedogist/reel/DV1LzUAkXh-/,https://www.instagram.com/reel/DV1LzUAkXh-/,2026-06-19T22:17:18.392Z,7,69
109,DVzW-XlEbBx,reel,https://www.instagram.com/thedogist/reel/DVzW-XlEbBx/,https://www.instagram.com/reel/DVzW-XlEbBx/,2026-06-19T22:17:20.004Z,8,60
110,DVyXPX9kZt4,reel,https://www.instagram.com/thedogist/reel/DVyXPX9kZt4/,https://www.instagram.com/reel/DVyXPX9kZt4/,2026-06-19T22:17:20.007Z,8,61
111,DVwmbKiES8H,reel,https://www.instagram.com/thedogist/reel/DVwmbKiES8H/,https://www.instagram.com/reel/DVwmbKiES8H/,2026-06-19T22:17:20.007Z,8,62
112,DVvy0ZakVyf,reel,https://www.instagram.com/thedogist/reel/DVvy0ZakVyf/,https://www.instagram.com/reel/DVvy0ZakVyf/,2026-06-19T22:17:20.008Z,8,63
113,DVrm5_wESyN,p,https://www.instagram.com/thedogist/p/DVrm5_wESyN/,https://www.instagram.com/p/DVrm5_wESyN/,2026-06-19T22:17:20.009Z,8,64
114,DVq4YdfEYXa,reel,https://www.instagram.com/thedogist/reel/DVq4YdfEYXa/,https://www.instagram.com/reel/DVq4YdfEYXa/,2026-06-19T22:17:20.009Z,8,65
115,DVpIp49Ef2i,p,https://www.instagram.com/thedogist/p/DVpIp49Ef2i/,https://www.instagram.com/p/DVpIp49Ef2i/,2026-06-19T22:17:20.010Z,8,66
116,DVluVHWkSv6,reel,https://www.instagram.com/thedogist/reel/DVluVHWkSv6/,https://www.instagram.com/reel/DVluVHWkSv6/,2026-06-19T22:17:20.011Z,8,67
117,DVgS1-tEaLN,reel,https://www.instagram.com/thedogist/reel/DVgS1-tEaLN/,https://www.instagram.com/reel/DVgS1-tEaLN/,2026-06-19T22:17:20.011Z,8,68
118,DVeE8GgkVNI,reel,https://www.instagram.com/thedogist/reel/DVeE8GgkVNI/,https://www.instagram.com/reel/DVeE8GgkVNI/,2026-06-19T22:17:20.011Z,8,69
119,DVcE0ogkf6z,reel,https://www.instagram.com/thedogist/reel/DVcE0ogkf6z/,https://www.instagram.com/reel/DVcE0ogkf6z/,2026-06-19T22:17:20.012Z,8,70
120,DVZfWl6EWju,reel,https://www.instagram.com/thedogist/reel/DVZfWl6EWju/,https://www.instagram.com/reel/DVZfWl6EWju/,2026-06-19T22:17:20.012Z,8,71
121,DVUlcT4keYo,p,https://www.instagram.com/thedogist/p/DVUlcT4keYo/,https://www.instagram.com/p/DVUlcT4keYo/,2026-06-19T22:17:21.624Z,9,62
122,DVR62dxETWm,p,https://www.instagram.com/thedogist/p/DVR62dxETWm/,https://www.instagram.com/p/DVR62dxETWm/,2026-06-19T22:17:21.624Z,9,63
123,DVRhJAxkbvo,reel,https://www.instagram.com/thedogist/reel/DVRhJAxkbvo/,https://www.instagram.com/reel/DVRhJAxkbvo/,2026-06-19T22:17:21.625Z,9,64
124,DVOqoEwEc-P,reel,https://www.instagram.com/thedogist/reel/DVOqoEwEc-P/,https://www.instagram.com/reel/DVOqoEwEc-P/,2026-06-19T22:17:21.625Z,9,65
125,DVMsTMvkWKf,reel,https://www.instagram.com/thedogist/reel/DVMsTMvkWKf/,https://www.instagram.com/reel/DVMsTMvkWKf/,2026-06-19T22:17:21.625Z,9,66
126,DVKcWxMEeL-,p,https://www.instagram.com/thedogist/p/DVKcWxMEeL-/,https://www.instagram.com/p/DVKcWxMEeL-/,2026-06-19T22:17:21.626Z,9,67
127,DVHPCEbkdDQ,reel,https://www.instagram.com/thedogist/reel/DVHPCEbkdDQ/,https://www.instagram.com/reel/DVHPCEbkdDQ/,2026-06-19T22:17:21.626Z,9,68
128,DVByn5agM44,reel,https://www.instagram.com/thedogist/reel/DVByn5agM44/,https://www.instagram.com/reel/DVByn5agM44/,2026-06-19T22:17:21.626Z,9,69
129,DU8jwpfETRF,reel,https://www.instagram.com/thedogist/reel/DU8jwpfETRF/,https://www.instagram.com/reel/DU8jwpfETRF/,2026-06-19T22:17:21.627Z,9,70
130,DU38g69EQoe,reel,https://www.instagram.com/thedogist/reel/DU38g69EQoe/,https://www.instagram.com/reel/DU38g69EQoe/,2026-06-19T22:17:21.627Z,9,71
131,DU1l9H1kQUn,reel,https://www.instagram.com/thedogist/reel/DU1l9H1kQUn/,https://www.instagram.com/reel/DU1l9H1kQUn/,2026-06-19T22:17:21.627Z,9,72
132,DUy-YeXkSj-,p,https://www.instagram.com/thedogist/p/DUy-YeXkSj-/,https://www.instagram.com/p/DUy-YeXkSj-/,2026-06-19T22:17:21.627Z,9,73
133,DUveH_zjO65,reel,https://www.instagram.com/thedogist/reel/DUveH_zjO65/,https://www.instagram.com/reel/DUveH_zjO65/,2026-06-19T22:17:23.236Z,10,59
134,DUt3iaKkYKX,p,https://www.instagram.com/thedogist/p/DUt3iaKkYKX/,https://www.instagram.com/p/DUt3iaKkYKX/,2026-06-19T22:17:23.237Z,10,60
135,DUowAQAEcw1,reel,https://www.instagram.com/thedogist/reel/DUowAQAEcw1/,https://www.instagram.com/reel/DUowAQAEcw1/,2026-06-19T22:17:23.237Z,10,61
136,DUmCmxkkXBV,reel,https://www.instagram.com/thedogist/reel/DUmCmxkkXBV/,https://www.instagram.com/reel/DUmCmxkkXBV/,2026-06-19T22:17:23.237Z,10,62
137,DUjyiWGkThn,reel,https://www.instagram.com/thedogist/reel/DUjyiWGkThn/,https://www.instagram.com/reel/DUjyiWGkThn/,2026-06-19T22:17:23.237Z,10,63
138,DUjN01BkSt-,p,https://www.instagram.com/thedogist/p/DUjN01BkSt-/,https://www.instagram.com/p/DUjN01BkSt-/,2026-06-19T22:17:23.237Z,10,64
139,DUeUAeoEc17,p,https://www.instagram.com/thedogist/p/DUeUAeoEc17/,https://www.instagram.com/p/DUeUAeoEc17/,2026-06-19T22:17:23.238Z,10,65
140,DUYKdNukb34,reel,https://www.instagram.com/thedogist/reel/DUYKdNukb34/,https://www.instagram.com/reel/DUYKdNukb34/,2026-06-19T22:17:23.238Z,10,66
141,DUUvbVpDVqG,p,https://www.instagram.com/thedogist/p/DUUvbVpDVqG/,https://www.instagram.com/p/DUUvbVpDVqG/,2026-06-19T22:17:23.238Z,10,67
142,DUTq0lhEaz5,p,https://www.instagram.com/thedogist/p/DUTq0lhEaz5/,https://www.instagram.com/p/DUTq0lhEaz5/,2026-06-19T22:17:23.238Z,10,68
143,DUTKI1WEXdJ,reel,https://www.instagram.com/thedogist/reel/DUTKI1WEXdJ/,https://www.instagram.com/reel/DUTKI1WEXdJ/,2026-06-19T22:17:23.238Z,10,69
144,DURm8CdkZwJ,reel,https://www.instagram.com/thedogist/reel/DURm8CdkZwJ/,https://www.instagram.com/reel/DURm8CdkZwJ/,2026-06-19T22:17:23.239Z,10,70
145,DUPAaofEbgy,p,https://www.instagram.com/thedogist/p/DUPAaofEbgy/,https://www.instagram.com/p/DUPAaofEbgy/,2026-06-19T22:17:24.846Z,11,61
146,DUMIyIjEWUX,reel,https://www.instagram.com/thedogist/reel/DUMIyIjEWUX/,https://www.instagram.com/reel/DUMIyIjEWUX/,2026-06-19T22:17:24.847Z,11,62
147,DULbrcVkYk2,reel,https://www.instagram.com/thedogist/reel/DULbrcVkYk2/,https://www.instagram.com/reel/DULbrcVkYk2/,2026-06-19T22:17:24.847Z,11,63
148,DUJlxqEkciR,reel,https://www.instagram.com/thedogist/reel/DUJlxqEkciR/,https://www.instagram.com/reel/DUJlxqEkciR/,2026-06-19T22:17:24.848Z,11,64
149,DUHUa-EkRzB,reel,https://www.instagram.com/thedogist/reel/DUHUa-EkRzB/,https://www.instagram.com/reel/DUHUa-EkRzB/,2026-06-19T22:17:24.848Z,11,65
